method,hardness,accuracy_mean,accuracy_std,nll_mean,nll_std,margin_mean,margin_std
B0,easy,0.7941666666666667,0.08419038444699806,0.4646351709760104,0.14521620115564582,0.25535487751786906,0.043024239723965525
B0,hard,0.42333333333333334,0.07843521743026743,1.2600518760085107,0.0770473149340003,-0.019147861225840945,0.012846462012286302
B1,easy,0.7204166666666667,0.10279175955947702,0.6472684924273441,0.127710597245844,0.13555256160597007,0.013297470925636535
B1,hard,0.3775,0.03191786333700926,1.3205405749877295,0.020695143105242335,-0.012433813263972601,0.003130637945833905
B2,easy,0.7291666666666666,0.10492805074589605,0.7685808678545678,0.2799276698733013,0.2060452857799828,0.026284179139377032
B2,hard,0.44625,0.0523360535386458,1.262266285220782,0.09028091053609871,-0.019920372559378546,0.0132426318479592
P,easy,0.74875,0.1565047922588954,0.586114249896879,0.2685930708770659,0.16220756214732926,0.04288813148222875
P,hard,0.39416666666666667,0.013010412496663336,1.3026494975884757,0.016290142822113756,-0.022153662083049617,0.004723577654019597
P_fixed,easy,0.37875,0.08228190870416172,1.7836874881386757,0.5262047551309388,-0.06500034804766378,0.05996763707162881
P_fixed,hard,0.23916666666666664,0.023127815143963185,1.6419620563586552,0.06216835157533811,-0.0757845562696457,0.009162941837350416
