scope,method,episode_count,nll,accuracy
overall,S0,1800,0.9079148837393485,0.5979166666666667
overall,S1,1800,0.8539555307399214,0.6311805555555555
overall,S2,1800,2.419799086467764,0.2982638888888889
overall,S3,1800,2.3612078391762528,0.2734027777777778
regime/easy,S0,900,0.5388413432059032,0.7743055555555556
regime/easy,S1,900,0.4668770078909357,0.8269444444444445
regime/easy,S2,900,3.4739380061537184,0.2529166666666667
regime/easy,S3,900,3.373276237042802,0.20722222222222222
group/original_P/easy,S0,300,0.5916259859478062,0.7658333333333334
group/original_P/easy,S1,300,0.3822753829957219,0.8495833333333334
group/original_P/easy,S2,300,4.511000809472365,0.10958333333333334
group/original_P/easy,S3,300,4.095732241868973,0.10375
cell/7/original_P/easy,S0,100,0.5635469313870999,0.73
cell/7/original_P/easy,S1,100,0.2682446982993861,0.90125
cell/7/original_P/easy,S2,100,3.5631867051357404,0.13375
cell/7/original_P/easy,S3,100,4.332777439514175,0.08
regime/hard,S0,900,1.2769884242727938,0.4215277777777778
regime/hard,S1,900,1.2410340535889068,0.4354166666666667
regime/hard,S2,900,1.3656601667818096,0.3436111111111111
regime/hard,S3,900,1.3491394413097038,0.33958333333333335
group/original_P/hard,S0,300,1.2942991841925928,0.4245833333333333
group/original_P/hard,S1,300,1.250813853808989,0.425
group/original_P/hard,S2,300,1.4952520215138794,0.26666666666666666
group/original_P/hard,S3,300,1.4652010059605043,0.25625
cell/7/original_P/hard,S0,100,1.326307612285018,0.405
cell/7/original_P/hard,S1,100,1.2614389049448074,0.42125
cell/7/original_P/hard,S2,100,1.4695593547448516,0.2825
cell/7/original_P/hard,S3,100,1.4551565966755151,0.28375
group/P_O0_resume/easy,S0,300,0.4419246558396602,0.7945833333333333
group/P_O0_resume/easy,S1,300,0.7003305353875233,0.7470833333333333
group/P_O0_resume/easy,S2,300,3.4393059323828976,0.28708333333333336
group/P_O0_resume/easy,S3,300,3.859715683480414,0.18458333333333332
cell/7/P_O0_resume/easy,S0,100,0.29183286483988924,0.89875
cell/7/P_O0_resume/easy,S1,100,0.7779265429072256,0.745
cell/7/P_O0_resume/easy,S2,100,3.767674365345156,0.24
cell/7/P_O0_resume/easy,S3,100,4.736680795024149,0.06
group/P_O0_resume/hard,S0,300,1.2478319773760935,0.42291666666666666
group/P_O0_resume/hard,S1,300,1.2394740639068187,0.44916666666666666
group/P_O0_resume/hard,S2,300,1.3042713354155422,0.37
group/P_O0_resume/hard,S3,300,1.2929275314758222,0.37333333333333335
cell/7/P_O0_resume/hard,S0,100,1.2483445915579796,0.41875
cell/7/P_O0_resume/hard,S1,100,1.1984270696341992,0.47125
cell/7/P_O0_resume/hard,S2,100,1.2885414699092508,0.36875
cell/7/P_O0_resume/hard,S3,100,1.2893973752111196,0.36875
group/P_C2_warm/easy,S0,300,0.5829733878302431,0.7625
group/P_C2_warm/easy,S1,300,0.3180251052895619,0.8841666666666667
group/P_C2_warm/easy,S2,300,2.4715072766058923,0.3620833333333333
group/P_C2_warm/easy,S3,300,2.1643807857790187,0.3333333333333333
cell/7/P_C2_warm/easy,S0,100,0.632336864334502,0.73875
cell/7/P_C2_warm/easy,S1,100,0.3032597925601294,0.915
cell/7/P_C2_warm/easy,S2,100,1.9543232093495317,0.345
cell/7/P_C2_warm/easy,S3,100,2.015838253907859,0.30375
group/P_C2_warm/hard,S0,300,1.2888341112496953,0.4170833333333333
group/P_C2_warm/hard,S1,300,1.232814243050913,0.4320833333333333
group/P_C2_warm/hard,S2,300,1.2974571434160074,0.39416666666666667
group/P_C2_warm/hard,S3,300,1.2892897864927848,0.38916666666666666
cell/7/P_C2_warm/hard,S0,100,1.3299192336387933,0.4075
cell/7/P_C2_warm/hard,S1,100,1.2603577307239175,0.4375
cell/7/P_C2_warm/hard,S2,100,1.3225681568682193,0.365
cell/7/P_C2_warm/hard,S3,100,1.3167924796044828,0.375
cell/17/original_P/easy,S0,100,0.8726121633243747,0.6725
cell/17/original_P/easy,S1,100,0.4020431745229871,0.83875
cell/17/original_P/easy,S2,100,5.212075570244342,0.10125
cell/17/original_P/easy,S3,100,4.6059834980499,0.18625
cell/17/original_P/hard,S0,100,1.2153538979496807,0.475
cell/17/original_P/hard,S1,100,1.2270424702018499,0.48125
cell/17/original_P/hard,S2,100,1.561709606088698,0.25
cell/17/original_P/hard,S3,100,1.4955492059141398,0.27125
cell/17/P_O0_resume/easy,S0,100,0.6795394272716657,0.635
cell/17/P_O0_resume/easy,S1,100,0.9698164922415162,0.6475
cell/17/P_O0_resume/easy,S2,100,2.8548549189127517,0.4675
cell/17/P_O0_resume/easy,S3,100,2.8980236129369588,0.45875
cell/17/P_O0_resume/hard,S0,100,1.2840460140444339,0.42125
cell/17/P_O0_resume/hard,S1,100,1.3211360100843013,0.39875
cell/17/P_O0_resume/hard,S2,100,1.309853916093707,0.3725
cell/17/P_O0_resume/hard,S3,100,1.2745411465317011,0.39875
cell/17/P_C2_warm/easy,S0,100,0.8321323405324438,0.65375
cell/17/P_C2_warm/easy,S1,100,0.2770829011090973,0.885
cell/17/P_C2_warm/easy,S2,100,2.146590014885878,0.54125
cell/17/P_C2_warm/easy,S3,100,1.884656171508832,0.565
cell/17/P_C2_warm/hard,S0,100,1.2349152773246168,0.4275
cell/17/P_C2_warm/hard,S1,100,1.1925459162704646,0.43875
cell/17/P_C2_warm/hard,S2,100,1.2974354597181081,0.37625
cell/17/P_C2_warm/hard,S3,100,1.2746475712954999,0.375
cell/27/original_P/easy,S0,100,0.3387188631319441,0.895
cell/27/original_P/easy,S1,100,0.4765382761647925,0.80875
cell/27/original_P/easy,S2,100,4.757740153037012,0.09375
cell/27/original_P/easy,S3,100,3.3484357880428433,0.045
cell/27/original_P/hard,S0,100,1.34123604234308,0.39375
cell/27/original_P/hard,S1,100,1.2639601862803103,0.3725
cell/27/original_P/hard,S2,100,1.4544871037080884,0.2675
cell/27/original_P/hard,S3,100,1.4448972152918578,0.21375
cell/27/P_O0_resume/easy,S0,100,0.3544016754074255,0.85
cell/27/P_O0_resume/easy,S1,100,0.35324857101382806,0.84875
cell/27/P_O0_resume/easy,S2,100,3.6953885128907857,0.15375
cell/27/P_O0_resume/easy,S3,100,3.944442642480135,0.035
cell/27/P_O0_resume/hard,S0,100,1.2111053265258669,0.42875
cell/27/P_O0_resume/hard,S1,100,1.1988591120019556,0.4775
cell/27/P_O0_resume/hard,S2,100,1.3144186202436685,0.36875
cell/27/P_O0_resume/hard,S3,100,1.3148440726846458,0.3525
cell/27/P_C2_warm/easy,S0,100,0.28445095862378367,0.895
cell/27/P_C2_warm/easy,S1,100,0.373732622199459,0.8525
cell/27/P_C2_warm/easy,S2,100,3.313608605582267,0.2
cell/27/P_C2_warm/easy,S3,100,2.5926479319203644,0.13125
cell/27/P_C2_warm/hard,S0,100,1.3016678227856755,0.41625
cell/27/P_C2_warm/hard,S1,100,1.245539082158357,0.42
cell/27/P_C2_warm/hard,S2,100,1.2723678136616945,0.44125
cell/27/P_C2_warm/hard,S3,100,1.276429308578372,0.4175
