method,regime,metric,seed_mean_average,seed_mean_std,pooled_count,pooled_min,pooled_p05,pooled_median,pooled_p95,pooled_max
O0,easy,alignment.cosine,0.011109693170680354,0.05037046467157043,300,-0.43789249658584595,-0.22950533032417297,0.017842882312834263,0.2335591807961465,0.4141814410686493
O0,easy,alignment.dot,1.1870437793278446,1.85458322795612,300,-15.665624618530273,-7.012942123413085,0.16574987024068832,11.636315441131593,28.789169311523438
O0,easy,alignment.gradient_norm,3.5856047519048055,0.4781310830403909,300,2.554939031600952,2.8440859079360963,3.6502305269241333,4.293320202827454,4.6649017333984375
O0,easy,alignment.task_gradient_norm,10.362002965112527,2.7680815651453425,300,0.11623211205005646,0.6241953343153,8.114083290100098,27.248895549774172,31.657001495361328
O0,easy,raw_O1_alignment.cosine,0.4106405133195221,0.2787286589335989,300,-0.8705061078071594,-0.6256754994392395,0.6038753986358643,0.8867481976747513,0.9557448625564575
O0,easy,raw_O1_alignment.dot,102.09001574382187,74.51080552108591,300,-121.45169067382812,-23.656640434265135,56.16998481750488,393.9526062011719,713.3147583007812
O0,easy,raw_O1_alignment.gradient_norm,14.053244610627491,4.1808768724938385,300,3.059521436691284,6.401307320594788,13.01412296295166,24.485471630096438,30.679250717163086
O0,easy,raw_O1_alignment.task_gradient_norm,10.362002965112527,2.7680815651453425,300,0.11623211205005646,0.6241953343153,8.114083290100098,27.248895549774172,31.657001495361328
O0,easy,effective_direction.cosine,0.011109691364690661,0.050370463658741205,300,-0.43789252638816833,-0.2295053593814373,0.017842888832092285,0.23355913758277902,0.4141814708709717
O0,easy,effective_direction.dot,0.05935218956088647,0.09272915338196151,300,-0.7832812666893005,-0.3506471991539001,0.008287497330456972,0.5818158566951752,1.4394583702087402
O0,easy,effective_direction.gradient_norm,0.17928024058540662,0.023906554839647903,300,0.12774695456027985,0.14220428243279457,0.18251152336597443,0.2146659955382347,0.23324507474899292
O0,easy,effective_direction.task_gradient_norm,10.362002965112527,2.7680815651453425,300,0.11623211205005646,0.6241953343153,8.114083290100098,27.248895549774172,31.657001495361328
O0,easy,before.accuracy,0.7758333333333334,0.09995571936279249,300,0.0,0.25,0.875,1.0,1.0
O0,easy,before.nll,0.5559194744362806,0.20889473537059772,300,0.005686507094651461,0.02851496515795589,0.3366798311471939,1.7930660724639893,2.9200637340545654
O0,easy,before.margin,0.2071880392326663,0.013715260003289792,300,-0.22809892892837524,-0.09160979762673378,0.22383016347885132,0.4639766976237298,0.5599768161773682
O0,easy,before.query_nll,0.5559194752642118,0.20889473712190973,2400,0.0007569308509118855,0.004293782939203084,0.13248343765735626,2.629509699344633,5.548318386077881
