branch,regime,seed,alignment.cosine,alignment.dot,alignment.gradient_norm,alignment.task_gradient_norm,raw_O1_alignment.cosine,raw_O1_alignment.dot,raw_O1_alignment.gradient_norm,raw_O1_alignment.task_gradient_norm,effective_direction.cosine,effective_direction.dot,effective_direction.gradient_norm,effective_direction.task_gradient_norm,before.accuracy,before.nll,before.margin,before.query_nll,after.accuracy,after.nll,after.margin,after.query_nll,after.update_norm,after.accuracy_delta,after.nll_delta,after.margin_delta,after.query_nll_delta,after.episode_nll_improves,after.query_nll_improves_fraction,O1_inner_loss_before,O1_inner_loss_after,own_inner_loss_before,own_inner_loss_after,step.chosen_eta,step.backtracking_trials,step.step_accepted,step.step_rejected,step.armijo_rhs,step.armijo_satisfied,step.armijo_margin,representation_shift,normal_output_max_error,normal_state_max_error,nonfinite_elements,all_finite,W0_only_metric_max_error,normal_metric_max_error
P_O0_resume,easy,7,0.13403263248503208,6.075100676193833,6.339994347095489,6.590590051263571,0.13403263248503208,6.075100676193833,6.339994347095489,6.590590051263571,0.13403263489715755,0.18814394222339614,0.19495793726295232,6.590590051263571,0.86375,0.3358395268209279,0.27867456393316387,0.335839527256976,0.75375,0.7010030606389046,0.21204525221139192,0.7010030620255566,0.19495793741196393,-0.11,0.3651635338179767,-0.06662931172177196,0.3651635347685806,0.35,0.40625,1.9783594739437103,1.7236638486385345,1.9783594739437103,1.7236638486385345,0.0321250004786998,1.77,1,0,1.9782273364067078,1,0.2545634877681732,0.4997944863140583,0.0,0.0,0,1,0.0,0.0
P_O0_resume,easy,17,0.11868088515475392,14.326312109827995,10.316158752441407,8.769550950974226,0.11868088515475392,14.326312109827995,10.316158752441407,8.769550950974226,0.1186808823980391,0.2361622848943807,0.17578358761966228,8.769550950974226,0.68375,0.5733866421342827,0.2225476238876581,0.5733866421684434,0.68125,0.8511325776297599,0.10955701645463706,0.8511325748206582,0.17578358709812164,-0.0025,0.27774593549547716,-0.11299060743302107,0.2777459326522148,0.46,0.3325,2.7375362157821654,2.436620063781738,2.7375362157821654,2.436620063781738,0.018375000273808836,2.67,1,0,2.7373528933525084,1,0.30073282957077024,0.4854731932282448,0.0,0.0,0,1,0.0,0.0
P_O0_resume,easy,27,0.12404202235862613,13.756991324424744,7.290370237827301,5.690111854299903,0.12404202235862613,13.756991324424744,7.290370237827301,5.690111854299903,0.12404202135279775,0.3203302521910518,0.20329056333750486,5.690111854299903,0.88125,0.30511408768594267,0.3012849616631865,0.3051140895816207,0.79,0.4491394209489226,0.24470230031758547,0.449139421787695,0.20329056531190873,-0.09125,0.14402533326297998,-0.05658266134560108,0.14402533220607439,0.37,0.415,2.218399753570557,1.9509760653972625,2.218399753570557,1.9509760653972625,0.030187500449828805,1.94,1,0,2.218251929283142,1,0.26727586388587954,0.5560452645272016,0.0,0.0,0,1,0.0,0.0
P_O0_resume,hard,7,0.12594927951693535,1.4998479028046132,1.5024269965291024,5.26427827000618,0.12594927951693535,1.4998479028046132,1.5024269965291024,5.26427827000618,0.12594927230849862,0.0749923933763057,0.0751213508658111,5.26427827000618,0.415,1.2431567847728728,-0.01687249240698293,1.2431567867286504,0.4675,1.2145445561408996,-0.011479685893282294,1.214544550869614,0.07512135084718466,0.0525,-0.028612228631973265,0.005392806513700634,-0.028612235859036446,0.5,0.5875,1.6112682723999023,1.5241454935073853,1.6112682723999023,1.5241454935073853,0.05000000074505806,1.0,1,0,1.611254768371582,1,0.08710927486419678,0.20724386271089315,0.0,0.0,0,1,0.0,0.0
P_O0_resume,hard,17,0.11665885262191296,2.636918131262064,1.972714786529541,4.6714087611436845,0.11665885262191296,2.636918131262064,1.972714786529541,4.6714087611436845,0.11665884874761105,0.12634755115956067,0.09627831881865859,4.6714087611436845,0.385,1.3273070353269576,-0.028655997775495053,1.3273070337902755,0.43,1.2600391176342964,-0.01904632756486535,1.2600391232781112,0.09627831825986505,0.045,-0.06726791769266129,0.009609670210629702,-0.06726791051216424,0.51,0.5525,1.666948549747467,1.564312949180603,1.666948549747467,1.564312949180603,0.049250000733882186,1.03,1,0,1.6669248020648957,1,0.1026118528842926,0.269690246284008,0.0,0.0,0,1,0.0,0.0
P_O0_resume,hard,27,0.09742561858613044,1.6991864839196205,1.9015539056062698,4.527451037168503,0.09742561858613044,1.6991864839196205,1.9015539056062698,4.527451037168503,0.09742562065832316,0.0825923039286863,0.09440437294542789,4.527451037168503,0.42625,1.1869154512882232,-0.006080478113144636,1.1869154425524175,0.46375,1.1863897913694381,-0.003843991979956627,1.186389780957252,0.09440437294542789,0.0375,-0.0005256599187850952,0.0022364861331880094,-0.0005256615951657295,0.49,0.53125,1.615728269815445,1.5166104209423066,1.615728269815445,1.5166104209423066,0.04975000074133277,1.01,1,0,1.6157083642482757,1,0.09909794330596924,0.26564457911998035,0.0,0.0,0,1,0.0,0.0
P_C2_warm,easy,7,0.4597945308871567,44.733719328790905,8.31561550974846,8.235416609942913,0.4597945308871567,44.733719328790905,8.31561550974846,8.235416609942913,0.45979452976956964,1.1272120466083289,0.19777775030583145,8.235416609942913,0.68,0.7419018422998488,0.14337425466626882,0.7419018385479285,0.8975,0.3267726779356599,0.2205282204039395,0.32677267372229835,0.19777775090187788,0.2175,-0.4151291643641889,0.07715396573767067,-0.4151291648256301,0.77,0.58625,2.212873364686966,1.9264993035793305,2.212873364686966,1.9264993035793305,0.02500000037252903,2.14,1,0,2.212703220844269,1,0.2862039172649384,0.5817324808239936,0.0,0.0,0,1,0.0,0.0
P_C2_warm,easy,17,0.5834833671152592,41.858354060947896,9.570507576465607,5.943257598690689,0.5834833671152592,41.858354060947896,9.570507576465607,5.943257598690689,0.5834833637624979,0.9924701083870605,0.22688378885388374,5.943257598690689,0.71,0.6635724888416007,0.2268176558893174,0.6635724889733319,0.92,0.23356874066404998,0.274170259963721,0.23356874154982507,0.22688379012048243,0.21,-0.4300037481775507,0.04735260407440364,-0.4300037474235069,0.79,0.5425,2.7538373351097105,2.348731663227081,2.7538373351097105,2.348731663227081,0.02475000036880374,2.13,1,0,2.753608503341675,1,0.4048768401145935,0.68805948600173,0.0,0.0,0,1,0.0,0.0
P_C2_warm,easy,27,0.15626641388516874,5.917641284689307,6.721525926589965,2.9795457008481026,0.15626641388516874,5.917641284689307,6.721525926589965,2.9795457008481026,0.1562664184719324,0.23170860561775045,0.22134361982345582,2.9795457008481026,0.925,0.2428513232059777,0.26735079374164344,0.2428513201646274,0.84875,0.357216767501086,0.22987379672005773,0.3572167706993059,0.2213436173647642,-0.07625,0.11436544429510832,-0.0374769970215857,0.11436545053467853,0.35,0.47875,2.33167351603508,1.9974762940406798,2.33167351603508,1.9974762940406798,0.03375000050291419,1.67,1,0,2.3315197086334227,1,0.3340434145927429,0.6211344112455844,0.0,0.0,0,1,0.0,0.0
P_C2_warm,hard,7,0.21861236630938946,2.5220802506804465,1.8650231090188027,3.5470330148935316,0.21861236630938946,2.5220802506804465,1.8650231090188027,3.5470330148935316,0.21861236193217337,0.12610401337267832,0.09325115738436579,3.5470330148935316,0.38,1.3297561180591584,-0.029262842764146625,1.329756117835641,0.445,1.2407440042495728,-0.013514689691364766,1.2407440097257494,0.09325115831568836,0.065,-0.08901211380958557,0.01574815307278186,-0.08901210810989141,0.67,0.625,1.6328265178203583,1.501613221168518,1.6328265178203583,1.501613221168518,0.05000000074505806,1.0,1,0,1.632804696559906,1,0.13119147539138795,0.28071451649069784,0.0,0.0,0,1,0.0,0.0
