model,regime,path,accuracy_mean,accuracy_sd,nll_mean,nll_sd,margin_mean,margin_sd
T005_frozen_C2,easy,W0,0.7758333333333334,0.09995571936279249,0.5559194744362806,0.20889473537059772,0.2071880392326663,0.013715260003289792
T005_frozen_C2,easy,C2,0.8670833333333333,0.051071844820148586,0.3444877121752749,0.09694639092031862,0.21314852988968291,0.031025891485479733
T005_frozen_C2,hard,W0,0.40541666666666665,0.02673169155390909,1.3139047340552013,0.019502731901290673,-0.026497344012216976,0.0033169490258490356
T005_frozen_C2,hard,C2,0.4625,0.04222336438513634,1.2353605051835377,0.02568832284815788,-0.012702862879571815,0.003650146979191556
T006_random_C2,easy,W0,0.6333333333333333,0.12958065377722605,0.8748664512299001,0.29884732852252965,0.09094853750430047,0.04683331747403482
T006_random_C2,easy,C2,0.7370833333333333,0.07830562453191556,0.6649284019817909,0.17593929981412984,0.10660351615088681,0.03184184797695661
T006_random_C2,hard,W0,0.2991666666666667,0.011614466553971955,1.469847587744395,0.05426133063266223,-0.04978256673707316,0.006210138390425118
T006_random_C2,hard,C2,0.34625,0.02490607355646409,1.358450678785642,0.015319513728212102,-0.03128793271724135,0.001253795571143291
P_O0_resume,easy,W0,0.8095833333333333,0.10932558407497,0.4047800855470511,0.14682350406410385,0.2675023831613362,0.040540169059751226
P_O0_resume,easy,C2,0.7416666666666667,0.055372789647383076,0.6670916864058624,0.20313077187205322,0.18876818966120482,0.07051544631017533
P_O0_resume,hard,W0,0.40875,0.021323402636539975,1.2524597571293512,0.0706566216870387,-0.017202989431874205,0.011291388011174226
P_O0_resume,hard,C2,0.45375,0.020653389552322893,1.2203244883815447,0.03716330888587188,-0.01145666847936809,0.007601193929906866
P_C2_warm,easy,W0,0.7716666666666667,0.13363507523600732,0.5494418847824757,0.26838815405889493,0.21251423476574322,0.06321381535831945
P_C2_warm,easy,C2,0.88875,0.03642200571083368,0.3058527287002653,0.06442392290276734,0.24152409236257275,0.028655961743619684
P_C2_warm,hard,W0,0.38916666666666666,0.014807796369930721,1.3081972044706345,0.018865348665905755,-0.025224883806270856,0.0035271933418789068
P_C2_warm,hard,C2,0.4354166666666667,0.03172965227249319,1.2279278608163198,0.023253357268061263,-0.011459745581572254,0.003051104320229692
T002_B0,easy,original,0.7941666666666667,0.08419038444699806,0.4646351709760104,0.14521620115564582,0.25535487751786906,0.043024239723965525
T002_B0,hard,original,0.42333333333333334,0.07843521743026743,1.2600518760085107,0.0770473149340003,-0.019147861225840945,0.012846462012286302
T002_B1,easy,original,0.7204166666666667,0.10279175955947702,0.6472684924273441,0.127710597245844,0.13555256160597007,0.013297470925636535
T002_B1,hard,original,0.3775,0.03191786333700926,1.3205405749877295,0.020695143105242335,-0.012433813263972601,0.003130637945833905
T002_B2,easy,original,0.7291666666666666,0.10492805074589605,0.7685808678545678,0.2799276698733013,0.2060452857799828,0.026284179139377032
T002_B2,hard,original,0.44625,0.0523360535386458,1.262266285220782,0.09028091053609871,-0.019920372559378546,0.0132426318479592
T002_P,easy,original,0.74875,0.1565047922588954,0.586114249896879,0.2685930708770659,0.16220756214732926,0.04288813148222875
T002_P,hard,original,0.39416666666666667,0.013010412496663336,1.3026494975884757,0.016290142822113756,-0.022153662083049617,0.004723577654019597
