branch,seed,step,split,regime,path,accuracy,nll,margin
P_O0_resume,7,0,train_seen_at_final,easy,before,1.0,0.02434246850956697,0.5120129072666169
P_O0_resume,7,0,train_seen_at_final,easy,after,0.91625,0.28265566080925053,0.398598094843328
P_O0_resume,7,0,train_seen_at_final,easy,training_objective,1.0,0.04107099034939893,0.44936983168125155
P_O0_resume,7,0,train_seen_at_final,hard,before,0.53375,1.167261729836464,0.002537650614976883
P_O0_resume,7,0,train_seen_at_final,hard,after,0.4175,1.2727253943681718,-0.018907235749065877
P_O0_resume,7,0,train_seen_at_final,hard,training_objective,0.54375,1.2083304756879807,0.0013466890901327132
P_O0_resume,7,0,heldout,easy,before,0.71875,0.618635843731463,0.19278949451632799
P_O0_resume,7,0,heldout,easy,after,0.90375,0.26979391610249875,0.24005332447588443
P_O0_resume,7,0,heldout,easy,training_objective,0.72375,0.5917874312866479,0.18349449342116714
P_O0_resume,7,0,heldout,hard,before,0.41125,1.316600942015648,-0.02872786041116342
P_O0_resume,7,0,heldout,hard,after,0.48625,1.236402542591095,-0.013386011882685124
P_O0_resume,7,0,heldout,hard,training_objective,0.38375,1.3211753481626511,-0.02750695675611496
P_O0_resume,7,50,train_seen_at_final,easy,before,1.0,0.020499322022660634,0.5347425031661988
P_O0_resume,7,50,train_seen_at_final,easy,after,0.8975,0.3295887777779717,0.3805259868875146
P_O0_resume,7,50,train_seen_at_final,easy,training_objective,1.0,0.03134437367436476,0.4788702197372913
P_O0_resume,7,50,train_seen_at_final,hard,before,0.60625,1.1219456261396408,0.010605884715914726
P_O0_resume,7,50,train_seen_at_final,hard,after,0.4575,1.2327042627334595,-0.012382551394402981
P_O0_resume,7,50,train_seen_at_final,hard,training_objective,0.6075,1.1727169448137282,0.007549657002091408
P_O0_resume,7,50,heldout,easy,before,0.74,0.6017902340507135,0.20570704532787204
P_O0_resume,7,50,heldout,easy,after,0.88375,0.2917328807897866,0.24714115761220457
P_O0_resume,7,50,heldout,easy,training_objective,0.75,0.5539925986062735,0.20623112578876315
P_O0_resume,7,50,heldout,hard,before,0.41375,1.2978034430742265,-0.025906566930934787
P_O0_resume,7,50,heldout,hard,after,0.4875,1.2223585176467895,-0.011211354667320848
P_O0_resume,7,50,heldout,hard,training_objective,0.4025,1.3034525620937347,-0.024806791543960573
P_O0_resume,7,100,train_seen_at_final,easy,before,1.0,0.01790033490397036,0.5612215414643288
P_O0_resume,7,100,train_seen_at_final,easy,after,0.90625,0.3066769685887266,0.3848082382977009
P_O0_resume,7,100,train_seen_at_final,easy,training_objective,1.0,0.024973317828262225,0.5080844858288764
P_O0_resume,7,100,train_seen_at_final,hard,before,0.635,1.0935638999938966,0.014838290326297283
P_O0_resume,7,100,train_seen_at_final,hard,after,0.485,1.2003151452541352,-0.008078514970839024
P_O0_resume,7,100,train_seen_at_final,hard,training_objective,0.63125,1.1484777808189393,0.010811350643634796
P_O0_resume,7,100,heldout,easy,before,0.775,0.5239546534745023,0.23233249858021737
P_O0_resume,7,100,heldout,easy,after,0.89125,0.28744682105258107,0.25426277475431563
P_O0_resume,7,100,heldout,easy,training_objective,0.79875,0.4720098246075213,0.23424841668456792
P_O0_resume,7,100,heldout,hard,before,0.44,1.2721994984149934,-0.02099903820082545
P_O0_resume,7,100,heldout,hard,after,0.4875,1.2012935286760331,-0.0082343789935112
P_O0_resume,7,100,heldout,hard,training_objective,0.42,1.2772095596790314,-0.019886288195848464
P_O0_resume,7,200,train_seen_at_final,easy,before,1.0,0.012630158965475858,0.5873096859455109
P_O0_resume,7,200,train_seen_at_final,easy,after,0.8825,0.3613886712526437,0.3803105234913528
P_O0_resume,7,200,train_seen_at_final,easy,training_objective,1.0,0.016449833156657406,0.5440042158961296
P_O0_resume,7,200,train_seen_at_final,hard,before,0.6575,1.0625707203149795,0.018720292150974274
P_O0_resume,7,200,train_seen_at_final,hard,after,0.52625,1.1374956411123276,0.0023914407938718796
P_O0_resume,7,200,train_seen_at_final,hard,training_objective,0.6525,1.1133127862215042,0.014401840195059776
P_O0_resume,7,200,heldout,easy,before,0.83,0.4005457465071231,0.2646084504947066
P_O0_resume,7,200,heldout,easy,after,0.8375,0.3980723411682993,0.23390823731198906
P_O0_resume,7,200,heldout,easy,training_objective,0.85875,0.3551472039707005,0.26168716373853385
P_O0_resume,7,200,heldout,hard,before,0.42625,1.2741164025664329,-0.0213952441024594
P_O0_resume,7,200,heldout,hard,after,0.4825,1.2068225252628326,-0.009444812312722206
P_O0_resume,7,200,heldout,hard,training_objective,0.41875,1.2724458944797516,-0.019851124137639998
P_O0_resume,7,400,train_seen_at_final,easy,before,1.0,0.013602167051285505,0.6100785115361214
P_O0_resume,7,400,train_seen_at_final,easy,after,0.85625,0.42885853886953557,0.40023216262459754
P_O0_resume,7,400,train_seen_at_final,easy,training_objective,1.0,0.014539719013846479,0.5829325971007348
P_O0_resume,7,400,train_seen_at_final,hard,before,0.71375,0.9555218201875687,0.03363522317260504
P_O0_resume,7,400,train_seen_at_final,hard,after,0.62375,1.013568667769432,0.02096397813409567
P_O0_resume,7,400,train_seen_at_final,hard,training_objective,0.7175,1.0035977041721345,0.0279580969363451
P_O0_resume,7,400,heldout,easy,before,0.86375,0.3358395268209279,0.27867456393316387
P_O0_resume,7,400,heldout,easy,after,0.75375,0.7010030606389046,0.21204525221139192
P_O0_resume,7,400,heldout,easy,training_objective,0.9075,0.2794050324521959,0.28096875607967375
P_O0_resume,7,400,heldout,hard,before,0.415,1.2431567847728728,-0.01687249240698293
P_O0_resume,7,400,heldout,hard,after,0.4675,1.2145445561408996,-0.011479685893282294
P_O0_resume,7,400,heldout,hard,training_objective,0.41125,1.234810539484024,-0.014722023792564869
P_C2_warm,7,0,train_seen_at_final,easy,before,1.0,0.02434246850956697,0.5120129072666169
P_C2_warm,7,0,train_seen_at_final,easy,after,0.91625,0.28265566080925053,0.398598094843328
P_C2_warm,7,0,train_seen_at_final,easy,training_objective,0.91625,0.28265566080925053,0.398598094843328
P_C2_warm,7,0,train_seen_at_final,hard,before,0.53375,1.167261729836464,0.002537650614976883
P_C2_warm,7,0,train_seen_at_final,hard,after,0.4175,1.2727253943681718,-0.018907235749065877
P_C2_warm,7,0,train_seen_at_final,hard,training_objective,0.4175,1.2727253943681718,-0.018907235749065877
