feature,orientation,scope_kind,auc_defined,auc_direction_agree,rho_defined,rho_direction_agree
query_entropy,-1,seed/,9,5,9,4
query_entropy,-1,seed_branch/,18,9,18,9
query_entropy,-1,state/,66,41,66,38
query_max_probability,1,seed/,9,5,9,4
query_max_probability,1,seed_branch/,18,9,18,9
query_max_probability,1,state/,66,43,66,38
query_probability_gap,1,seed/,9,5,9,5
query_probability_gap,1,seed_branch/,18,11,18,10
query_probability_gap,1,state/,66,42,66,39
assignment_entropy,-1,seed/,9,4,9,5
assignment_entropy,-1,seed_branch/,18,10,18,10
assignment_entropy,-1,state/,66,27,66,29
assignment_probability_gap,1,seed/,9,4,9,5
assignment_probability_gap,1,seed_branch/,18,8,18,9
assignment_probability_gap,1,state/,66,25,66,26
inner_loss_before,-1,seed/,9,6,9,6
inner_loss_before,-1,seed_branch/,18,12,18,12
inner_loss_before,-1,state/,66,47,66,49
gradient_norm,-1,seed/,9,7,9,7
gradient_norm,-1,seed_branch/,18,14,18,13
gradient_norm,-1,state/,66,48,66,48
chosen_eta,1,seed/,9,5,9,4
chosen_eta,1,seed_branch/,18,10,18,9
chosen_eta,1,state/,66,33,55,24
backtracking_trials,-1,seed/,9,5,9,4
backtracking_trials,-1,seed_branch/,18,10,18,9
backtracking_trials,-1,state/,66,33,55,24
normalized_update,-1,seed/,9,6,9,6
normalized_update,-1,seed_branch/,18,10,18,10
normalized_update,-1,state/,66,41,66,43
representation_shift,-1,seed/,9,6,9,6
representation_shift,-1,seed_branch/,18,10,18,10
representation_shift,-1,state/,66,42,66,43
relative_inner_reduction,-1,seed/,9,7,9,9
relative_inner_reduction,-1,seed_branch/,18,14,18,18
relative_inner_reduction,-1,state/,66,59,66,58
query_js,-1,seed/,9,7,9,7
query_js,-1,seed_branch/,18,14,18,14
query_js,-1,state/,66,54,66,53
prediction_changed_fraction,-1,seed/,9,8,9,8
prediction_changed_fraction,-1,seed_branch/,18,15,18,16
prediction_changed_fraction,-1,state/,66,48,66,53
