feature,availability,overall_mean,overall_min,easy_mean,easy_min,orientations,P_O0_resume/overall,P_O0_resume/easy,P_C2_warm/overall,P_C2_warm/easy,overall_pass,direction_pass,easy_pass,passes
query_entropy,pre_update,0.41743872177917124,0.339272419543767,0.5623835061154958,0.280647491638796,"[-1, -1, 1]",,,,,False,False,False,False
query_max_probability,pre_update,0.4235671854067367,0.337866544898648,0.5664307010789186,0.2757458193979933,"[1, 1, -1]",,,,,False,False,False,False
query_probability_gap,pre_update,0.43149401192693543,0.33749056959637874,0.5689791257404424,0.2785979933110368,"[1, 1, -1]",,,,,False,False,False,False
assignment_entropy,pre_update,0.42798956613688727,0.3991784381266255,0.5844495866460374,0.47199325590108654,"[-1, -1, 1]",,,,,False,False,False,False
assignment_probability_gap,pre_update,0.43368181900556196,0.40449855069586454,0.5905799635087339,0.4991686961408767,"[1, 1, -1]",,,,,False,False,False,False
inner_loss_before,pre_update,0.4881682065013352,0.41318817129583674,0.549678782722895,0.47637190635451504,"[-1, 1, -1]",,,,,False,False,False,False
gradient_norm,pre_update,0.5385291393274657,0.40867026345569696,0.55071914886668,0.44470073061071563,"[-1, -1, -1]",0.5447383653727256,0.5986905411616017,0.5582760486526034,0.578346818701366,False,True,False,False
chosen_eta,post_candidate_rollback,0.5312903471173396,0.42593969008715676,0.5622483284744996,0.5133769670288497,"[1, 1, 1]",0.5452461958635224,0.6343703323375653,0.5431109296884526,0.5797123470029938,False,True,False,False
backtracking_trials,post_candidate_rollback,0.5312903471173396,0.42593969008715676,0.5622483284744996,0.5133769670288497,"[-1, -1, -1]",0.5452461958635224,0.6343703323375653,0.5431109296884526,0.5797123470029938,False,True,False,False
normalized_update,post_candidate_rollback,0.48527880741665386,0.45034520240624193,0.49303934947336525,0.42976321070234114,"[-1, 1, -1]",,,,,False,False,False,False
representation_shift,post_candidate_rollback,0.4888280503596749,0.45638686493676667,0.49304091979634035,0.4252842809364549,"[-1, 1, -1]",,,,,False,False,False,False
relative_inner_reduction,post_candidate_rollback,0.5805559847681528,0.4911130854295301,0.5695774640968501,0.47492709030100333,"[-1, -1, -1]",0.567575280774035,0.5633778795886712,0.583697872210706,0.556568945945469,False,True,False,False
query_js,post_candidate_rollback,0.5491412189362898,0.4440317953503147,0.5508750886272247,0.4339264214046823,"[-1, -1, -1]",0.5431662637474889,0.5158054231056471,0.5734052059200098,0.6027714440878408,False,True,False,False
prediction_changed_fraction,post_candidate_rollback,0.5522779294847683,0.5457761606652043,0.5848268976937416,0.4636816053511706,"[-1, -1, -1]",0.5582069618699272,0.5541691201815362,0.5743130601451043,0.6503179043992949,False,True,False,False
