feature,analysis,held_seed,orientation,training_seeds,training_count,training_auroc,harm_threshold,overall_count,overall_harm_count,overall_auroc,easy_count,easy_harm_count,easy_auroc,hard_count,hard_harm_count,hard_auroc
query_entropy,primary,7,-1,"[17, 27]",3600,0.4534130724106576,0,1800,617,0.448228619653629,900,240,0.7180429292929293,900,377,0.4178403517758697
query_entropy,primary,17,-1,"[7, 27]",3600,0.4319142090682476,0,1800,654,0.4648151261401177,900,272,0.6884600974147621,900,382,0.45673805817784874
query_entropy,primary,27,1,"[7, 17]",3600,0.544355387666676,0,1800,964,0.339272419543767,900,575,0.280647491638796,900,389,0.4785817415320532
query_entropy,sensitivity_gt_005,7,-1,"[17, 27]",3600,0.45594047930783865,0.05,1800,445,0.40878643393175507,900,153,0.6019896579783185,900,292,0.44706425739005046
query_entropy,sensitivity_gt_005,17,-1,"[7, 27]",3600,0.4447391120755261,0.05,1800,502,0.4554731766309185,900,207,0.6085910868519564,900,295,0.47476957557080823
query_entropy,sensitivity_gt_005,27,1,"[7, 17]",3600,0.5651996444820889,0.05,1800,802,0.34917715730713295,900,490,0.3452165256346441,900,312,0.45054945054945056
query_max_probability,primary,7,1,"[17, 27]",3600,0.5571677857204332,0,1800,617,0.46604586038571827,900,240,0.7354608585858586,900,377,0.4328882036404948
query_max_probability,primary,17,1,"[7, 27]",3600,0.580067004193871,0,1800,654,0.46678915093584383,900,272,0.6880854252529037,900,382,0.463977440417231
query_max_probability,primary,27,-1,"[7, 17]",3600,0.4653168968288528,0,1800,964,0.337866544898648,900,575,0.2757458193979933,900,389,0.4777818582445832
query_max_probability,sensitivity_gt_005,7,1,"[17, 27]",3600,0.5524872544409055,0.05,1800,445,0.4244454579377254,900,153,0.6234261665397975,900,292,0.45399242970439796
query_max_probability,sensitivity_gt_005,17,1,"[7, 27]",3600,0.5645125010607694,0.05,1800,502,0.45656971497676474,900,207,0.6093997253417544,900,295,0.4780277349768875
query_max_probability,sensitivity_gt_005,27,-1,"[7, 17]",3600,0.44250158514339527,0.05,1800,802,0.3505027511381866,900,490,0.34365355898456945,900,312,0.4585895255538113
query_probability_gap,primary,7,1,"[17, 27]",3600,0.5619627949443633,0,1800,617,0.48698676961985776,900,240,0.7389835858585858,900,377,0.47927940721505696
