scope,feature,count,harm_count,harm_gt_005_count,spearman,auroc_harm,auroc_harm_gt_005
primary/overall,query_entropy,5400,2235,1749,0.014575423682840144,0.4759590883227131,0.4853502388734401
primary/overall,query_max_probability,5400,2235,1749,0.004580140189251116,0.5360839862732416,0.5244580030784896
primary/overall,query_probability_gap,5400,2235,1749,0.022087569611715305,0.5448571660817597,0.5304498450341151
primary/overall,assignment_entropy,5400,2235,1749,-0.0003720849847120629,0.49036914518768265,0.4890423748813541
primary/overall,assignment_probability_gap,5400,2235,1749,0.00870391570772459,0.5141759527267972,0.5101692104374234
primary/overall,inner_loss_before,5400,2235,1749,-0.15057210918742944,0.46102045937282427,0.49511001238881425
primary/overall,gradient_norm,5400,2235,1749,-0.15001788054473755,0.45436644507352864,0.48370481766863216
primary/overall,chosen_eta,5400,2235,1749,0.10078503537808355,0.5362214659075246,0.5425691466062933
primary/overall,backtracking_trials,5400,2235,1749,-0.10078503537808355,0.4637785340924754,0.4574308533937067
primary/overall,normalized_update,5400,2235,1749,-0.07871353912674078,0.4931153450597453,0.5585208216175178
primary/overall,representation_shift,5400,2235,1749,-0.08923203621051794,0.4868220999395655,0.5505218852608815
primary/overall,relative_inner_reduction,5400,2235,1749,-0.21358339095507742,0.41978406155129333,0.4455967247551874
primary/overall,query_js,5400,2235,1749,-0.200334510604369,0.44554498835487416,0.5475500418989667
primary/overall,prediction_changed_fraction,5400,2235,1749,-0.19335960494903415,0.435635640093161,0.5104630748031626
full_grid/overall,query_entropy,6600,2721,2153,0.021769266470786416,0.48096460563429255,0.4941519518056031
full_grid/overall,query_max_probability,6600,2721,2153,-0.0018649702507288436,0.5316790748135509,0.5165127996130511
full_grid/overall,query_probability_gap,6600,2721,2153,0.015891036159666333,0.5404969455010769,0.5226757503427634
full_grid/overall,assignment_entropy,6600,2721,2153,0.009602968085467104,0.4981784993859168,0.4982290257416895
full_grid/overall,assignment_probability_gap,6600,2721,2153,0.0004199939784201295,0.506623315605785,0.5020881223672607
full_grid/overall,inner_loss_before,6600,2721,2153,-0.15192584539069326,0.4595499527748573,0.4879731776151611
full_grid/overall,gradient_norm,6600,2721,2153,-0.15173582851397027,0.4512874239951855,0.4758237886879698
full_grid/overall,chosen_eta,6600,2721,2153,0.09817403414067058,0.5375975898644394,0.5462786092608919
full_grid/overall,backtracking_trials,6600,2721,2153,-0.09817403414067058,0.46240241013556066,0.4537213907391081
full_grid/overall,normalized_update,6600,2721,2153,-0.07462451025097641,0.49385201500100573,0.5559800095901661
full_grid/overall,representation_shift,6600,2721,2153,-0.08352324869211475,0.48809508582810845,0.5484041752629488
full_grid/overall,relative_inner_reduction,6600,2721,2153,-0.20783953734532057,0.41803929393366535,0.4409182787709422
full_grid/overall,query_js,6600,2721,2153,-0.21008716393908244,0.4426561515994823,0.5397315609943233
full_grid/overall,prediction_changed_fraction,6600,2721,2153,-0.1911004875609263,0.43689007963137766,0.5097572785569338
primary/easy,query_entropy,2700,1087,850,-0.2610411344609148,0.3274818046335803,0.3965046104928458
primary/easy,query_max_probability,2700,1087,850,0.3053876321976633,0.7047893409744082,0.6343879173290938
primary/easy,query_probability_gap,2700,1087,850,0.3193722632883763,0.71172357073479,0.6401602543720191
primary/easy,assignment_entropy,2700,1087,850,-0.2205582778790009,0.42402775060727266,0.4371710651828299
primary/easy,assignment_probability_gap,2700,1087,850,0.22055868960567301,0.5837540087981106,0.5636216216216217
primary/easy,inner_loss_before,2700,1087,850,-0.10813246842237793,0.4850675656792699,0.5235027027027027
primary/easy,gradient_norm,2700,1087,850,-0.20111602697826922,0.4140176612402336,0.4372260731319555
primary/easy,chosen_eta,2700,1087,850,0.15345894286120015,0.5900617168121707,0.6221300476947536
