regime,grouping,group,count,net_damage,positive_damage,negative_offset,net_denominator,positive_denominator,net_share,positive_share
overall,flip,flip,5054,3366.51379585836,3901.1181275135564,-534.6043316551963,5069.388433881203,6148.573449355853,0.6640867709718792,0.6344753233650078
overall,flip,no_flip,12826,1702.8746380228436,2247.4553218422966,-544.580683819453,5069.388433881203,6148.573449355853,0.3359132290281209,0.36552467663499216
overall,quartile,Q1,4729,825.3825514303687,1147.2248741005403,-321.8423226701716,5069.388433881203,6148.573449355853,0.1628169871367389,0.18658390983696027
overall,quartile,Q2,3740,908.0475007884087,1257.877648259165,-349.8301474707563,5069.388433881203,6148.573449355853,0.17912367786210323,0.20458040529562915
overall,quartile,Q3,4107,1684.1417591156187,2026.1608959085368,-342.01913679291806,5069.388433881203,6148.573449355853,0.3322179353745464,0.32953349465489506
overall,quartile,Q4,5304,1651.8166225468074,1717.3100310876107,-65.49340854080333,5069.388433881203,6148.573449355853,0.3258413996266115,0.27930219021251546
overall,quartile_flip,Q1/flip,2036,518.0735808915134,678.0739257224003,-160.0003448308869,5069.388433881203,6148.573449355853,0.1021964656385323,0.1102815037191168
overall,quartile_flip,Q1/no_flip,2693,307.30897053885525,469.15094837813996,-161.8419778392847,5069.388433881203,6148.573449355853,0.06062052149820658,0.07630240611784347
overall,quartile_flip,Q2/flip,1253,559.517914501629,749.5803289059604,-190.06241440433143,5069.388433881203,6148.573449355853,0.1103718765684036,0.12191125877897567
overall,quartile_flip,Q2/no_flip,2487,348.5295862867797,508.2973193532046,-159.7677330664249,5069.388433881203,6148.573449355853,0.06875180129369964,0.0826691465166535
overall,quartile_flip,Q3/flip,1176,1277.135418487072,1439.8433648951745,-162.70794640810254,5069.388433881203,6148.573449355853,0.2519308660491177,0.23417519149031518
overall,quartile_flip,Q3/no_flip,2931,407.0063406285467,586.3175310133623,-179.31119038481563,5069.388433881203,6148.573449355853,0.08028706932542873,0.09535830316457992
overall,quartile_flip,Q4/flip,589,1011.7868819781455,1033.6205079900212,-21.833626011875708,5069.388433881203,6148.573449355853,0.1995875627158256,0.1681073693766002
overall,quartile_flip,Q4/no_flip,4715,640.0297405686619,683.6895230975896,-43.659782528927735,5069.388433881203,6148.573449355853,0.12625383691078593,0.11119482083591527
easy,flip,flip,1669,2154.525741970891,2310.9562384024707,-156.43049643157974,3058.0877368287956,3459.185833751999,0.7045336587383563,0.6680636281098251
easy,flip,no_flip,7027,903.5619948579049,1148.2295953495284,-244.6676004916235,3058.0877368287956,3459.185833751999,0.2954663412616438,0.33193637189017494
easy,quartile,Q1,94,38.693418871859244,57.06254964536863,-18.369130773509383,3058.0877368287956,3459.185833751999,0.012652815158267468,0.016495948002734462
easy,quartile,Q2,634,326.7247819108538,412.89820903475953,-86.17342712390575,3058.0877368287956,3459.185833751999,0.10683957100905937,0.11936282954388441
easy,quartile,Q3,2664,1040.8529134992755,1271.9150439842601,-231.06213048498466,3058.0877368287956,3459.185833751999,0.3403607100490285,0.3676920249770681
easy,quartile,Q4,5304,1651.8166225468074,1717.3100310876107,-65.49340854080333,3058.0877368287956,3459.185833751999,0.5401469037836447,0.49644919747631305
easy,quartile_flip,Q1/flip,56,31.300753982547835,40.458248312477195,-9.15749432992936,3058.0877368287956,3459.185833751999,0.010235400902855189,0.01169588748824004
easy,quartile_flip,Q1/no_flip,38,7.392664889311405,16.60430133289143,-9.211636443580026,3058.0877368287956,3459.185833751999,0.002417414255412279,0.004800060514494421
easy,quartile_flip,Q2/flip,300,229.22913888596358,274.5124993233182,-45.28336043735462,3058.0877368287956,3459.185833751999,0.07495832644869495,0.07935754611528598
easy,quartile_flip,Q2/no_flip,334,97.4956430248902,138.38570971144134,-40.89006668655114,3058.0877368287956,3459.185833751999,0.031881244560364425,0.040005283428598444
easy,quartile_flip,Q3/flip,724,882.208967124234,962.3649827766541,-80.15601565242002,3058.0877368287956,3459.185833751999,0.2884838641153819,0.2782056324891996
easy,quartile_flip,Q3/no_flip,1940,158.64394637504145,309.5500612076061,-150.90611483256467,3058.0877368287956,3459.185833751999,0.0518768459336466,0.08948639248786854
easy,quartile_flip,Q4/flip,589,1011.7868819781455,1033.6205079900212,-21.833626011875708,3058.0877368287956,3459.185833751999,0.33085606727142425,0.2988045620170995
easy,quartile_flip,Q4/no_flip,4715,640.0297405686619,683.6895230975896,-43.659782528927735,3058.0877368287956,3459.185833751999,0.2092908365122205,0.19764463545921357
hard,flip,flip,3385,1211.988053887469,1590.1618891110859,-378.17383522361683,2011.3006970524077,2689.3876156038536,0.6025891880133369,0.5912728533012314
hard,flip,no_flip,5799,799.3126431649387,1099.225726492768,-299.9130833278293,2011.3006970524077,2689.3876156038536,0.397410811986663,0.4087271466987687
hard,quartile,Q1,4635,786.6891325585095,1090.1623244551718,-303.47319189666223,2011.3006970524077,2689.3876156038536,0.3911345199210713,0.4053570850590815
hard,quartile,Q2,3106,581.3227188775548,844.9794392244055,-263.65672034685065,2011.3006970524077,2689.3876156038536,0.28902824909745833,0.3141902767462103
hard,quartile,Q3,1443,643.2888456163433,754.2458519242766,-110.95700630793328,2011.3006970524077,2689.3876156038536,0.3198372309814704,0.2804526381947082
hard,quartile_flip,Q1/flip,1980,486.7728269089656,637.6156774099231,-150.84285050095752,2011.3006970524077,2689.3876156038536,0.24201892219414964,0.2370858234456315
hard,quartile_flip,Q1/no_flip,2655,299.91630564954386,452.54664704524856,-152.6303413957047,2011.3006970524077,2689.3876156038536,0.14911559772692162,0.16827126161345
hard,quartile_flip,Q2/flip,953,330.2887756156654,475.0678295826423,-144.7790539669769,2011.3006970524077,2689.3876156038536,0.16421650730778778,0.17664535481099639
hard,quartile_flip,Q2/no_flip,2153,251.0339432618895,369.9116096417633,-118.87766637987377,2011.3006970524077,2689.3876156038536,0.12481174178967055,0.13754492193521398
hard,quartile_flip,Q3/flip,452,394.92645136283807,477.4783821185204,-82.55193075568235,2011.3006970524077,2689.3876156038536,0.19635375851139955,0.1775416750446035
hard,quartile_flip,Q3/no_flip,991,248.36239425350527,276.7674698057562,-28.405075552250935,2011.3006970524077,2689.3876156038536,0.12348347247007084,0.10291096315010473
