feature,analysis,held_seed,orientation_train_seeds,orientation_train_count,orientation_train_auroc,orientation,harm_threshold,overall,easy,hard
query_entropy,primary,7,"[17, 27]",28800,0.3659140686468414,-1,0,"{""count"": 14400, ""harm_count"": 5783, ""auroc"": 0.6448602187452986}","{""count"": 7200, ""harm_count"": 3041, ""auroc"": 0.840509352071343}","{""count"": 7200, ""harm_count"": 2742, ""auroc"": 0.5480556185472384}"
query_entropy,primary,17,"[7, 27]",28800,0.37119412618695474,-1,0,"{""count"": 14400, ""harm_count"": 6464, ""auroc"": 0.6653632252637436}","{""count"": 7200, ""harm_count"": 3650, ""auroc"": 0.8836110360794907}","{""count"": 7200, ""harm_count"": 2814, ""auroc"": 0.5224841527493793}"
query_entropy,primary,27,"[7, 17]",28800,0.3466104464850049,-1,0,"{""count"": 14400, ""harm_count"": 7347, ""auroc"": 0.6102021384647007}","{""count"": 7200, ""harm_count"": 4005, ""auroc"": 0.6772817233544142}","{""count"": 7200, ""harm_count"": 3342, ""auroc"": 0.550078970415644}"
query_entropy,sensitivity_gt_005,7,"[17, 27]",28800,0.44260811435593644,-1,0.05,"{""count"": 14400, ""harm_count"": 3938, ""auroc"": 0.4922858988378362}","{""count"": 7200, ""harm_count"": 1499, ""auroc"": 0.6085959896786713}","{""count"": 7200, ""harm_count"": 2439, ""auroc"": 0.5783116873386756}"
query_entropy,sensitivity_gt_005,17,"[7, 27]",28800,0.46960772203542467,-1,0.05,"{""count"": 14400, ""harm_count"": 4999, ""auroc"": 0.5634797845645079}","{""count"": 7200, ""harm_count"": 2476, ""auroc"": 0.7264036186851864}","{""count"": 7200, ""harm_count"": 2523, ""auroc"": 0.523196004498617}"
query_entropy,sensitivity_gt_005,27,"[7, 17]",28800,0.469513802984482,-1,0.05,"{""count"": 14400, ""harm_count"": 6105, ""auroc"": 0.5598322702120171}","{""count"": 7200, ""harm_count"": 3186, ""auroc"": 0.5711706297262782}","{""count"": 7200, ""harm_count"": 2919, ""auroc"": 0.5628240625039261}"
query_max_probability,primary,7,"[17, 27]",28800,0.6422265015438952,1,0,"{""count"": 14400, ""harm_count"": 5783, ""auroc"": 0.6661114256227275}","{""count"": 7200, ""harm_count"": 3041, ""auroc"": 0.8484225246073953}","{""count"": 7200, ""harm_count"": 2742, ""auroc"": 0.5601281381720108}"
query_max_probability,primary,17,"[7, 27]",28800,0.6392376223042755,1,0,"{""count"": 14400, ""harm_count"": 6464, ""auroc"": 0.6761037752827072}","{""count"": 7200, ""harm_count"": 3650, ""auroc"": 0.8889737217827512}","{""count"": 7200, ""harm_count"": 2814, ""auroc"": 0.5259930479191561}"
query_max_probability,primary,27,"[7, 17]",28800,0.6687257812743596,1,0,"{""count"": 14400, ""harm_count"": 7347, ""auroc"": 0.6117285656360886}","{""count"": 7200, ""harm_count"": 4005, ""auroc"": 0.676752259988004}","{""count"": 7200, ""harm_count"": 3342, ""auroc"": 0.5501272120170294}"
query_max_probability,sensitivity_gt_005,7,"[17, 27]",28800,0.5641880717764252,1,0.05,"{""count"": 14400, ""harm_count"": 3938, ""auroc"": 0.5163693699484041}","{""count"": 7200, ""harm_count"": 1499, ""auroc"": 0.6183443467369172}","{""count"": 7200, ""harm_count"": 2439, ""auroc"": 0.5882177515326928}"
