scope,count,before_nll,after_nll,oracle_nll,before_accuracy,after_accuracy,oracle_accuracy
overall,5400,0.9322664833001405,0.8120453378554207,0.6428166637246192,0.5830555555555555,0.6499768518518518,0.7341898148148148
regime/easy,2700,0.5598197502691769,0.40382758173041505,0.2164575319842523,0.7663425925925926,0.8474537037037037,0.9205555555555556
seed/7/easy,900,0.6170242568417922,0.3536288728332007,0.253329325372766,0.7295833333333334,0.8822222222222222,0.9156944444444445
branch/original_P/overall,600,0.9349120977023736,0.7899241048058615,0.5990476166794687,0.590625,0.6647916666666667,0.768125
branch/original_P/easy,300,0.5559194739432911,0.3444877093093561,0.2103256228404077,0.7758333333333334,0.8670833333333333,0.92125
step/original_P/0/easy,300,0.5559194739432911,0.3444877093093561,0.2103256228404077,0.7758333333333334,0.8670833333333333,0.92125
state/seed7_original_P/easy,100,0.6186358468478081,0.2697939145278322,0.23694291499970124,0.71875,0.90375,0.915
regime/hard,2700,1.3047132163311042,1.2202630939804262,1.069175795464986,0.3997685185185185,0.4525,0.5478240740740741
seed/7/hard,900,1.3142317163028197,1.2243635333000924,1.0772748734442283,0.4011111111111111,0.47152777777777777,0.5586111111111111
branch/original_P/hard,300,1.313904721461456,1.2353605003023669,0.9877696105185297,0.40541666666666665,0.4625,0.615
step/original_P/0/hard,300,1.313904721461456,1.2353605003023669,0.9877696105185297,0.40541666666666665,0.4625,0.615
state/seed7_original_P/hard,100,1.31660093444515,1.2364025407718495,0.9926721721352858,0.41125,0.48625,0.62
branch/P_O0_resume/overall,2400,0.8735726009555694,0.8350956574933166,0.6290250527518613,0.6044270833333333,0.63875,0.7381770833333333
branch/P_O0_resume/easy,1200,0.4733968820814908,0.4572260246098038,0.22461775673638693,0.7983333333333333,0.8183333333333334,0.9082291666666666
step/P_O0_resume/50/easy,300,0.5642366214642311,0.34853380348557,0.21593973941178618,0.7754166666666666,0.8645833333333334,0.915
state/seed7_P_O0_resume_step50/easy,100,0.6017902287755662,0.29173287925985697,0.2677450865430074,0.74,0.88375,0.88875
branch/P_O0_resume/hard,1200,1.2737483198296482,1.2129652903768293,1.0334323487673356,0.41052083333333333,0.45916666666666667,0.568125
step/P_O0_resume/50/hard,300,1.2956385153384122,1.2157279603861733,0.9935289185873987,0.3983333333333333,0.4554166666666667,0.5941666666666666
state/seed7_P_O0_resume_step50/hard,100,1.2978034336421083,1.2223585111172106,0.9961008124011704,0.41375,0.4875,0.61125
step/P_O0_resume/100/easy,300,0.4834523278031471,0.35823385859822954,0.2164054183238924,0.79875,0.8620833333333333,0.9133333333333333
state/seed7_P_O0_resume_step100/easy,100,0.5239546532538779,0.287446825466028,0.24930073105192124,0.775,0.89125,0.9
step/P_O0_resume/100/hard,300,1.2764709746193257,1.2041366526690453,1.0039763549911744,0.41791666666666666,0.46208333333333335,0.5908333333333333
state/seed7_P_O0_resume_step100/hard,100,1.2721994852025378,1.2012935333042758,0.9968857539728164,0.44,0.4875,0.63125
step/P_O0_resume/200/easy,300,0.4411184946281261,0.45504475227627234,0.22338380639640013,0.8095833333333333,0.805,0.91
state/seed7_P_O0_resume_step200/easy,100,0.40054574229694323,0.3980723370778097,0.25163673119367774,0.83,0.8375,0.905
step/P_O0_resume/200/hard,300,1.270424041282951,1.2116720703110144,1.0358018967689062,0.4170833333333333,0.46541666666666665,0.5691666666666667
state/seed7_P_O0_resume_step200/hard,100,1.2741163902659012,1.206822511060073,1.0462843621992568,0.42625,0.4825,0.58375
step/P_O0_resume/400/easy,300,0.40478008443045876,0.6670916840791435,0.24274206281346905,0.8095833333333333,0.7416666666666667,0.8945833333333333
state/seed7_P_O0_resume_step400/easy,100,0.3358395264925222,0.7010030606717919,0.22651725921910923,0.86375,0.75375,0.91875
step/P_O0_resume/400/hard,300,1.2524597480779034,1.2203244781410845,1.100422224721863,0.40875,0.45375,0.5183333333333333
state/seed7_P_O0_resume_step400/hard,100,1.24315678102373,1.2145445442978806,1.107167920173991,0.415,0.4675,0.51875
branch/P_C2_warm/overall,2400,0.9902989620441531,0.7945253264799145,0.6675505364586648,0.5597916666666667,0.6575,0.72171875
branch/P_C2_warm/easy,1200,0.6472176875383343,0.36526410695629097,0.20983028451807884,0.7319791666666666,0.8716666666666667,0.9327083333333334
step/P_C2_warm/50/easy,300,0.6903399535616533,0.3892507484215119,0.22161059441443448,0.7183333333333334,0.8795833333333334,0.9354166666666667
state/seed7_P_C2_warm_step50/easy,100,0.6829342926336656,0.29569791434612813,0.2615541347679959,0.68625,0.93625,0.94125
branch/P_C2_warm/hard,1200,1.333380236549972,1.223786546003538,1.1252707883992508,0.3876041666666667,0.44333333333333336,0.5107291666666667
step/P_C2_warm/50/hard,300,1.3487193118382255,1.2185665424812475,1.06263787414394,0.38333333333333336,0.4525,0.5545833333333333
state/seed7_P_C2_warm_step50/hard,100,1.3745471263590598,1.2290142407384337,1.0858210311034737,0.36375,0.46375,0.54375
step/P_C2_warm/100/easy,300,0.6955058462012682,0.40962301390059447,0.2263966909994436,0.7125,0.84625,0.925
state/seed7_P_C2_warm_step100/easy,100,0.7878601139938092,0.3187135095974623,0.2708065179167822,0.6525,0.90625,0.9225
step/P_C2_warm/100/hard,300,1.345952721838132,1.2202178404272204,1.1146835370756187,0.38416666666666666,0.445,0.5191666666666667
state/seed7_P_C2_warm_step100/hard,100,1.3636071719993097,1.2267187881146353,1.1232691788331683,0.375,0.4675,0.52875
step/P_C2_warm/200/easy,300,0.6535830699123767,0.3563299380345387,0.2023699632667222,0.7254166666666667,0.8720833333333333,0.93625
state/seed7_P_C2_warm_step200/easy,100,0.8597560713531087,0.29342674291453635,0.25890764191520205,0.62,0.93,0.93125
step/P_C2_warm/200/hard,300,1.3306517091141234,1.2284339471629486,1.1562690723361884,0.39375,0.4404166666666667,0.49166666666666664
state/seed7_P_C2_warm_step200/hard,100,1.3562980088655605,1.241373130369661,1.1695953963218748,0.385,0.45625,0.50375
step/P_C2_warm/400/easy,300,0.549441880478039,0.3058527274685187,0.18894388939171508,0.7716666666666666,0.88875,0.9341666666666667
state/seed7_P_C2_warm_step400/easy,100,0.7419018359288286,0.32677267163736096,0.2565529107474967,0.68,0.8975,0.91875
step/P_C2_warm/400/hard,300,1.3081972034094074,1.2279278539427356,1.1674926700412553,0.38916666666666666,0.4354166666666667,0.4775
state/seed7_P_C2_warm_step400/hard,100,1.3297561149220203,1.2407439999268115,1.1776772338570183,0.38,0.445,0.48625
seed/17/easy,900,0.7185882740312034,0.4093595942027096,0.20614694153942567,0.6891666666666667,0.8523611111111111,0.9141666666666667
state/seed17_original_P/easy,100,0.7262714864875772,0.30962498264791416,0.20080023557594676,0.7175,0.88875,0.92
seed/17/hard,900,1.3046846258207623,1.1984212857998195,1.0387091482036799,0.4025,0.4633333333333333,0.57625
state/seed17_original_P/hard,100,1.293194170079992,1.2091670187168446,0.9318112814700983,0.42875,0.4875,0.68
state/seed17_P_O0_resume_step50/easy,100,0.7289662785462703,0.3391513120478103,0.1900493908366908,0.71625,0.88375,0.9275
state/seed17_P_O0_resume_step50/hard,100,1.314298552837064,1.1906439810919747,0.9678432393728795,0.39125,0.47125,0.615
state/seed17_P_O0_resume_step100/easy,100,0.5068912174503941,0.4128808994032885,0.21903600849366806,0.77,0.84625,0.91375
state/seed17_P_O0_resume_step100/hard,100,1.2778742296797432,1.1739126122698544,0.9806177961003607,0.4125,0.46125,0.5925
state/seed17_P_O0_resume_step200/easy,100,0.6232455798089486,0.4348711251328032,0.22985762369259685,0.71125,0.82125,0.895
state/seed17_P_O0_resume_step200/hard,100,1.2838355370471246,1.2071417309631518,1.0188744367298679,0.41375,0.4575,0.5775
state/seed17_P_O0_resume_step400/easy,100,0.5733866389700064,0.851132569948994,0.34578864563946987,0.68375,0.68125,0.83375
state/seed17_P_O0_resume_step400/hard,100,1.3273070286006226,1.2600391184927022,1.1468372330112735,0.385,0.43,0.505
state/seed17_P_C2_warm_step50/easy,100,0.9930316664323247,0.4160804105882174,0.1843586521267545,0.6,0.88375,0.935
state/seed17_P_C2_warm_step50/hard,100,1.3253959589781454,1.1793185608183419,1.0003073235748456,0.39125,0.46375,0.60125
state/seed17_P_C2_warm_step100/easy,100,0.8919744758915976,0.39745627996255023,0.17712836805015458,0.62625,0.8525,0.9325
state/seed17_P_C2_warm_step100/hard,100,1.3210065589771436,1.1762459866403758,1.052698959589163,0.39,0.4675,0.56875
state/seed17_P_C2_warm_step200/easy,100,0.7599546368980379,0.289470025639028,0.14644134026080272,0.6675,0.89375,0.9425
state/seed17_P_C2_warm_step200/hard,100,1.3045357963359676,1.1882362955423975,1.109534170886702,0.40375,0.47,0.52875
state/seed17_P_C2_warm_step400/easy,100,0.6635724857956742,0.2335687424537809,0.16186220917874689,0.71,0.92,0.9275
state/seed17_P_C2_warm_step400/hard,100,1.2947137998510572,1.2010862676627334,1.1398578930979293,0.40625,0.46125,0.5175
seed/27/easy,900,0.3438467199345348,0.44849427815533477,0.1898963290405653,0.8802777777777778,0.8077777777777778,0.9318055555555556
state/seed27_original_P/easy,100,0.322851088494488,0.45404423075232214,0.19323371794557512,0.89125,0.80875,0.92875
seed/27/hard,900,1.2952233068697303,1.238004462841367,1.0915433647470498,0.39569444444444446,0.4226388888888889,0.5086111111111111
state/seed27_original_P/hard,100,1.331919059859226,1.2605119414184067,1.0388253779502052,0.37625,0.41375,0.545
state/seed27_P_O0_resume_step50/easy,100,0.3619533570708569,0.41471721914904275,0.19002474085566037,0.87,0.82625,0.92875
state/seed27_P_O0_resume_step50/hard,100,1.2748135595360641,1.2341813889493343,1.0166427039881458,0.39,0.4075,0.55625
state/seed27_P_O0_resume_step100/easy,100,0.4195111127051693,0.37437385092537206,0.18087951542608788,0.85125,0.84875,0.92625
state/seed27_P_O0_resume_step100/hard,100,1.2793392089756963,1.237203812433006,1.0344255149003465,0.40125,0.4375,0.54875
state/seed27_P_O0_resume_step200/easy,100,0.29956416177848644,0.5321907946182042,0.18865706430292573,0.8875,0.75625,0.93
state/seed27_P_O0_resume_step200/hard,100,1.2533201965358274,1.2210519689098183,1.042246891377594,0.41125,0.45625,0.54625
state/seed27_P_O0_resume_step400/easy,100,0.3051140878288477,0.4491394216166447,0.155920283581828,0.88125,0.79,0.93125
state/seed27_P_O0_resume_step400/hard,100,1.1869154346093578,1.1863897716326706,1.0472615209803244,0.42625,0.46375,0.53125
state/seed27_P_C2_warm_step50/easy,100,0.39505390161896975,0.45597392033019024,0.21891899634855305,0.86875,0.81875,0.93
state/seed27_P_C2_warm_step50/hard,100,1.3462148501774711,1.247366825886967,1.101785267753501,0.395,0.43,0.51875
state/seed27_P_C2_warm_step100/easy,100,0.40668294871839794,0.5126992521417709,0.23125518703139397,0.85875,0.78,0.92
state/seed27_P_C2_warm_step100/hard,100,1.3532444345379422,1.2576887465266495,1.168082472804525,0.3875,0.4,0.46
state/seed27_P_C2_warm_step200/easy,100,0.34103850148598347,0.4860930455500518,0.20176090762416193,0.88875,0.7925,0.935
state/seed27_P_C2_warm_step200/hard,100,1.3311213221408424,1.2556924155767875,1.1896776497999886,0.3925,0.395,0.4425
state/seed27_P_C2_warm_step400/easy,100,0.24285131970961402,0.35721676831441423,0.14841654824890163,0.925,0.84875,0.95625
state/seed27_P_C2_warm_step400/hard,100,1.3001216954551444,1.2419532942386622,1.1849428831688187,0.38125,0.4,0.42875
focus/original_P/easy,300,0.5559194739432911,0.3444877093093561,0.2103256228404077,0.7758333333333334,0.8670833333333333,0.92125
focus/original_P/hard,300,1.313904721461456,1.2353605003023669,0.9877696105185297,0.40541666666666665,0.4625,0.615
focus/P_O0_resume/easy,300,0.40478008443045876,0.6670916840791435,0.24274206281346905,0.8095833333333333,0.7416666666666667,0.8945833333333333
focus/P_O0_resume/hard,300,1.2524597480779034,1.2203244781410845,1.100422224721863,0.40875,0.45375,0.5183333333333333
focus/P_C2_warm/easy,300,0.549441880478039,0.3058527274685187,0.18894388939171508,0.7716666666666666,0.88875,0.9341666666666667
focus/P_C2_warm/hard,300,1.3081972034094074,1.2279278539427356,1.1674926700412553,0.38916666666666666,0.4354166666666667,0.4775
