scope,transition,nll_direction,count,fraction,delta_sum,mean_delta
overall,correct->correct,improved,9109,0.21085648148148148,-1461.2006571189818,-0.16041285071017475
overall,wrong->correct,improved,6582,0.1523611111111111,-6674.2485523216055,-1.0140152768644188
overall,correct->correct,worsened,12313,0.28502314814814816,2162.23654631159,0.1756059893049289
overall,correct->wrong,worsened,3713,0.08594907407407408,3923.367125928278,1.0566569151436245
overall,wrong->wrong,improved,7862,0.18199074074074073,-4365.387105769527,-0.5552514761853887
overall,wrong->wrong,worsened,3493,0.08085648148148149,1219.5305085222378,0.3491355592677463
overall,wrong->correct,worsened,75,0.001736111111111111,5.544541688517385,0.07392722251356514
overall,correct->wrong,improved,53,0.0012268518518518518,-3.3958904524045432,-0.06407340476234988
regime/easy,correct->correct,improved,6230,0.2884259259259259,-1015.3414039842773,-0.16297614831208304
regime/easy,wrong->correct,improved,3335,0.15439814814814815,-4873.001464675974,-1.4611698544755545
regime/easy,correct->correct,worsened,8735,0.4043981481481482,1375.0859611678277,0.15742254850232715
regime/easy,correct->wrong,worsened,1584,0.07333333333333333,2359.3442380782,1.4894849987867422
regime/easy,wrong->wrong,improved,1335,0.06180555555555556,-1527.4809283044876,-1.1441804706400656
regime/easy,wrong->correct,worsened,5,0.0002314814814814815,0.40188844936067547,0.08037768987213509
regime/easy,wrong->wrong,worsened,372,0.017222222222222222,312.36098682172695,0.8396800721014165
regime/easy,correct->wrong,improved,4,0.00018518518518518518,-0.800117989630651,-0.20002949740766274
seed/7/easy,correct->correct,improved,2313,0.32125,-448.4986318564481,-0.19390342925051798
seed/7/easy,wrong->correct,improved,1343,0.18652777777777776,-1663.3619459695678,-1.2385420297614056
seed/7/easy,correct->correct,worsened,2694,0.37416666666666665,237.25775229896098,0.08806895037080957
seed/7/easy,correct->wrong,worsened,243,0.03375,387.0058901497666,1.5926168318920437
seed/7/easy,wrong->wrong,improved,500,0.06944444444444445,-506.04490839611293,-1.0120898167922259
seed/7/easy,wrong->correct,worsened,2,0.0002777777777777778,0.19273334907985507,0.09636667453992753
seed/7/easy,wrong->wrong,worsened,102,0.014166666666666666,97.70036591732278,0.957846724679635
seed/7/easy,correct->wrong,improved,3,0.0004166666666666667,-0.6980203548600342,-0.2326734516200114
branch/original_P/overall,correct->correct,improved,1080,0.225,-193.08661105731997,-0.17878389912714812
branch/original_P/overall,wrong->correct,improved,861,0.179375,-861.0561347603385,-1.0000651971664791
branch/original_P/overall,correct->correct,worsened,1231,0.25645833333333334,238.37935037656143,0.19364691338469653
branch/original_P/overall,correct->wrong,worsened,515,0.10729166666666666,530.7009015270858,1.0304871874312345
branch/original_P/overall,wrong->wrong,improved,745,0.15520833333333334,-557.5037911118558,-0.7483272363917527
branch/original_P/overall,wrong->wrong,worsened,340,0.07083333333333333,145.57543724223115,0.4281630507124446
branch/original_P/overall,wrong->correct,worsened,19,0.003958333333333334,1.551453860807107,0.08165546635826877
branch/original_P/overall,correct->wrong,improved,9,0.001875,-0.5029719804288728,-0.05588577560320809
branch/original_P/easy,correct->correct,improved,782,0.3258333333333333,-130.16748996716643,-0.16645459075085223
branch/original_P/easy,wrong->correct,improved,349,0.14541666666666667,-491.39838772271145,-1.4080183029304052
branch/original_P/easy,correct->correct,worsened,950,0.3958333333333333,154.71580871713007,0.16285874601803166
branch/original_P/easy,correct->wrong,worsened,130,0.05416666666666667,145.59842142359142,1.1199878571045494
branch/original_P/easy,wrong->wrong,improved,157,0.06541666666666666,-207.8593649570424,-1.3239449997263848
branch/original_P/easy,wrong->wrong,worsened,32,0.013333333333333334,21.67477738475479,0.6773367932735872
step/original_P/0/easy,correct->correct,improved,782,0.3258333333333333,-130.16748996716643,-0.16645459075085223
step/original_P/0/easy,wrong->correct,improved,349,0.14541666666666667,-491.39838772271145,-1.4080183029304052
step/original_P/0/easy,correct->correct,worsened,950,0.3958333333333333,154.71580871713007,0.16285874601803166
step/original_P/0/easy,correct->wrong,worsened,130,0.05416666666666667,145.59842142359142,1.1199878571045494
step/original_P/0/easy,wrong->wrong,improved,157,0.06541666666666666,-207.8593649570424,-1.3239449997263848
step/original_P/0/easy,wrong->wrong,worsened,32,0.013333333333333334,21.67477738475479,0.6773367932735872
state/seed7_original_P/easy,correct->correct,improved,295,0.36875,-54.525360917216496,-0.18483173192276778
state/seed7_original_P/easy,wrong->correct,improved,157,0.19625,-182.8191276246581,-1.1644530421952746
state/seed7_original_P/easy,correct->correct,worsened,271,0.33875,17.274835033817556,0.063744778722574
state/seed7_original_P/easy,correct->wrong,worsened,9,0.01125,9.005964588687213,1.000662732076357
state/seed7_original_P/easy,wrong->wrong,improved,68,0.085,-68.00985693661096,-1.0001449549501613
regime/hard,wrong->wrong,worsened,3121,0.14449074074074075,907.1695217005109,0.29066629980791764
regime/hard,correct->correct,worsened,3578,0.16564814814814816,787.1505851437621,0.21999736868187875
regime/hard,wrong->wrong,improved,6527,0.3021759259259259,-2837.906177465039,-0.4347948793419701
regime/hard,wrong->correct,improved,3247,0.15032407407407408,-1801.2470876456312,-0.5547419426072163
regime/hard,correct->correct,improved,2879,0.13328703703703704,-445.8592531347045,-0.1548660135931589
regime/hard,correct->wrong,worsened,2129,0.09856481481481481,1564.0228878500782,0.7346279416862743
regime/hard,wrong->correct,worsened,70,0.0032407407407407406,5.14265323915671,0.07346647484509586
regime/hard,correct->wrong,improved,49,0.0022685185185185187,-2.5957724627738923,-0.052974948219875355
seed/7/hard,wrong->wrong,worsened,737,0.10236111111111111,276.11145035704044,0.3746424021126736
seed/7/hard,correct->correct,worsened,1330,0.18472222222222223,294.46378772211824,0.2214013441519686
seed/7/hard,wrong->wrong,improved,2402,0.33361111111111114,-994.1359640325632,-0.41387841966384814
seed/7/hard,wrong->correct,improved,1149,0.15958333333333333,-591.8819639474859,-0.5151279059595179
seed/7/hard,correct->correct,improved,892,0.1238888888888889,-119.38721933449209,-0.13384217414180727
seed/7/hard,correct->wrong,worsened,651,0.09041666666666667,486.77951452940124,0.7477411897533045
seed/7/hard,wrong->correct,worsened,24,0.0033333333333333335,1.6835983536601888,0.07014993140250787
seed/7/hard,correct->wrong,improved,15,0.0020833333333333333,-0.6841212673162476,-0.04560808448774984
branch/original_P/hard,wrong->wrong,worsened,308,0.12833333333333333,123.90065985747636,0.40227486966713105
branch/original_P/hard,correct->correct,worsened,281,0.11708333333333333,83.66354165943136,0.297735023699044
branch/original_P/hard,wrong->wrong,improved,588,0.245,-349.6444261548134,-0.5946333778143085
branch/original_P/hard,wrong->correct,improved,512,0.21333333333333335,-369.65774703762713,-0.7219877871828655
branch/original_P/hard,correct->correct,improved,298,0.12416666666666666,-62.91912109015352,-0.2111379902354145
