seed,branch,regime,S2_diversity,S2_teacher_diversity,S2_eligible_pairs,S3_diversity,S3_teacher_diversity,S3_eligible_pairs
7,original_P,easy,0.5469241614639759,0.08768787396140397,28.0,0.5755325518548489,-2.3841857768047704e-08,28.0
7,original_P,hard,0.23515973877161742,0.004840238162068999,28.0,0.2099190410692245,9.5367431640625e-09,28.0
7,P_O0_resume,easy,0.6345265965163708,0.13538716471754014,28.0,0.6509258510172367,7.152557799372517e-09,28.0
7,P_O0_resume,hard,0.273648852808401,0.005149970523889351,28.0,0.2699957204982638,-2.980231954552437e-09,28.0
7,P_C2_warm,easy,0.5385036030784249,0.08654042897745967,28.0,0.541026550680399,8.94069685841714e-09,28.0
7,P_C2_warm,hard,0.23034441092051566,0.0050140167171775826,28.0,0.2115571145247668,-2.9802316703353427e-09,28.0
17,original_P,easy,0.4884954060660675,0.04315648844582029,28.0,0.4877917655557394,-7.748603678692234e-09,27.93
17,original_P,hard,0.26901217027567326,0.002104464211679442,28.0,0.2878362307418138,-5.960464477539063e-09,28.0
17,P_O0_resume,easy,0.47774282910861077,0.04271518361987546,28.0,0.5307186737842858,5.960467319710005e-10,28.0
17,P_O0_resume,hard,0.32339668524451554,0.002769596787620685,28.0,0.3082310870289803,4.172325560602985e-09,28.0
17,P_C2_warm,easy,0.4739913891814649,0.04347581341862679,28.0,0.4765849643340334,5.960464619647609e-09,28.0
17,P_C2_warm,hard,0.2805060141952708,0.0023826493339583975,28.0,0.3058143621520139,4.768371724139797e-09,28.0
27,original_P,easy,0.6060595799982548,0.059908844651654365,28.0,0.706240791529417,-8.940696432091499e-09,27.86
27,original_P,hard,0.23172233696095645,0.0031139177832665153,28.0,0.22722670111805202,1.1324883075758408e-08,28.0
27,P_O0_resume,easy,0.6313814408238977,0.12063173161819578,27.79,0.7248400627356023,1.7285347269080375e-08,27.86
27,P_O0_resume,hard,0.2794961666595191,0.0028859222512619452,28.0,0.3061696904804558,1.4305115314527939e-08,28.0
27,P_C2_warm,easy,0.6058618038892746,0.07774260984966531,28.0,0.7033596837148071,6.556511067401516e-09,28.0
27,P_C2_warm,hard,0.2571249678917229,0.002889599842583266,28.0,0.22059186005964876,4.172325560602985e-09,28.0
