seed,branch,regime,attention_entropy,effective_token_count,A2_A3_L1,A2_A3_KL,A2_A3_class_different,teacher_diversity,uniform_teacher_diversity
7,original_P,easy,3.015702678859234,20.936234109401703,0.029770769058141012,0.0018337512067574835,0.01,0.10023968313354999,1.1920929381403766e-08
7,original_P,hard,3.0557471030950545,21.699891275167467,0.014728067012038082,0.00023987932998352336,0.0175,0.0049194125487701966,1.072883719643869e-08
7,P_O0_resume,easy,2.9379301714897155,19.3825992256403,0.026325729020736616,0.0018299068140026976,0.015,0.14656592021987308,4.172325560602985e-09
7,P_O0_resume,hard,3.0546633726358414,21.563642006516456,0.015731966121820734,0.00024209861654526322,0.01625,0.005293120504684339,5.960465045973251e-09
7,P_C2_warm,easy,2.987654174417257,20.300819694399834,0.03526654658395273,0.002131297640289631,0.01875,0.09255524831009097,1.3709068724665485e-08
7,P_C2_warm,hard,3.025525787472725,21.031960620880128,0.015291491334792226,0.00024030651909015432,0.0125,0.005150359011022374,1.2516976113374767e-08
17,original_P,easy,2.99534198731184,20.367010881900786,0.010234190428043348,0.0003644915589757147,0.00375,0.0428550142981112,-4.172324565843155e-09
17,original_P,hard,3.0749785366654394,21.974129948616028,0.01599565671873279,0.0002450186296209722,0.02625,0.0022044431041285863,2.443790521056144e-08
17,P_O0_resume,easy,2.8782479706406594,18.560627222657203,0.016157904062679335,0.0005843678164422528,0.00375,0.049032586659304794,8.344650836988876e-09
17,P_O0_resume,hard,2.8826039099693297,18.91102182686329,0.018501078344415875,0.00032231029200374906,0.02125,0.0032742155082087264,5.960468740795477e-10
17,P_C2_warm,easy,2.919141719341278,19.012981045246125,0.011799218472633584,0.0003990281526249362,0.00375,0.046439066706225274,-1.4901160909630562e-08
17,P_C2_warm,hard,3.01225659519434,20.767817727923394,0.01715604593628086,0.00027632399252979666,0.02375,0.002595000305955182,-5.960460214282648e-10
27,original_P,easy,2.8382603403925897,17.53378195106983,0.03749651294918294,0.002363745259378902,0.01375,0.06491310229990631,8.94069685841714e-09
27,original_P,hard,2.90011371999979,18.94541010737419,0.021730466032167897,0.0004344380307338724,0.02625,0.0026488143948517973,-7.152557088829781e-09
27,P_O0_resume,easy,2.76207276687026,16.244907569885253,0.030816416334237148,0.0021703532895480746,0.0075,0.13360213771346025,4.768372150465438e-09
27,P_O0_resume,hard,2.898082246929407,18.726827157139777,0.020885308007709682,0.0004037523868464632,0.02,0.0026190042192320104,1.9669533060096002e-08
27,P_C2_warm,easy,2.801497070044279,16.914743426442147,0.03449611825926695,0.0024265118270227503,0.0125,0.08293412179453298,1.6689300963435015e-08
27,P_C2_warm,hard,2.871831764578819,18.54720031261444,0.021391814176458867,0.0004046548825863283,0.03875,0.0024955522560048847,4.1723257027115325e-09
